project_id,project_name,country,continent,status,project_summary,intervention_rationale,budget_usd,budget_band,start_date,end_date,duration_years,time_band,local_problems_perceived,nature_based_solutions_implemented,main_pressure_tags,material_topic_tags,intervention_type_tags,risk_concern_tags,business_objective_tags,sbtn_outcome_tags,biodiversity_benefit,water_benefit,climate_adaptation_benefit,climate_mitigation_benefit,food_security_benefit,social_benefit,stakeholders_involved,match_explanation
NBS-011,Strengthening Sociobiodiversity Productive Chains,Brazil,South America,In implementation with intermediate results,"This NbS Project focuses on structuring and strengthening sociobiodiversity chains through local partnerships and support for collectives and working groups. The sociobiodiversity networks are innovative solutions to enable market access for sociobiodiversity products, such as baru (Dipteryx alata) nut, babassu (Attalea ssp.) oil, buriti (Mauritia flexuosa) oil, golden grass (Syngonanthus nitens) crafts, and their...","In the Cerrado, WWF-Brazil supports the strengthening of socio-biodiversity chains with the aim of structuring and expanding production and marketing based on sustainable, equitable and inclusive relations, associated with biodiversity conservation. The sustainable use of non-timber products from the Cerrado is a traditional practice developed by indigenous peoples and traditional communities in the biome. Unlike in...",1468000,Low: < $1.5M,2021-01-01,,,Unknown,"Poverty including unemployment, Famine including lack of quality food, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Deforestation and forest degradation, Forest fires, Degradation of carbon sinks","Agroecology approaches (agroforestry & silvopastoral systems) -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management) -Community-based forestry and other forms of sustainable forest management -Revaluation of ancestral practices for ecosystem management, Restoration and protection of ecosystems (including water ecosystem) through sustainable...",Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk; Supply chain dependency; Regulatory / reporting pressure,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Resource use / circularity; Community / social impact,Wetland restoration; Forest restoration; Agroforestry / regenerative agriculture; Coastal restoration; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Regulatory / reporting risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Indigenous people, Local communities, Academia, Women","This project is relevant because it addresses Water withdrawal / water stress in Brazil through Wetland restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-012,Sustainable production and forest protection ideas contest: innovation and locally led adaptation,Paraguay,South America,In early stages of implementation,"The sustainability ideas contest supports the potential and creativity of communities to develop and implement local and innovative solutions. It is an open contest where projects from civil society, indigenous communities and private companies are selected and supported from inception phase to their actual on-the-ground implementation. The ideas contest brings to life the projects of enthusiastic families and young...","The main goals of the projects supported is climate change mitigation, i.e. reduction of emissions from avoided deforestation. This objective is achieved by sustainably intensifying already cleared areas or restoring degraded soils and pastures. At the same time, these good practices meet adaptation objectives by ensuring better pastures for livestock, efficient water use, forecasting extreme events in longer-term...",3600000,High: > $3M,2022-01-01,2024-10-01,2.7,Medium term: 2–5 years,"Soil degradation and loss, Deforestation and forest degradation, Human-wildlife conflicts, Extreme temperatures",Reforestation/Restoration of forests -Agroecology approaches (agroforestry & silvopastoral systems) -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management) -Fire management -Community-based forestry and other forms of sustainable forest management -Indigenous Nature and Culture-based solutions -Soil restoration & management -Circular economies,Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Resource use / circularity; Community / social impact,Watershed restoration; Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Community,Yes,Yes,Yes,Yes,Yes,Yes,"NGOs, Private sector, Indigenous people, Local communities, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Paraguay through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-013,"Securing Indigenous Community Forest Conservation, Management and Monitoring",Paraguay,South America,Completed - looking to scale-up,"The project supported 14 Indigenous communities in Paraguay to certify 116,000 hectares of forest conservation in the Chaco and Pantanal. Its primary goal is to prevent and reduce greenhouse gas emissions resulting from deforestation and to increase carbon reserves. This objective is achieved through the establishment of a Payment for Environmental Services (PSA) incentive program. The project supports both private...","The Project embodies the principles of nature-based solutions by integrating environmental conservation with community participation and sustainable economic models. Main aspects include: -Climate Change Mitigation: The project contributes to the reduction of greenhouse gas emissions by preventing deforestation. This directly addresses one of the societal challenges of climate change, making it a pertinent example...",800000,Low: < $1.5M,2020-01-01,,,Unknown,"Water availability, Poverty including unemployment, Deforestation and forest degradation, Land rights conflicts",Community-based forestry and other forms of sustainable forest management -Revaluation of ancestral practices for ecosystem management -Indigenous and community protected areas,Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Community / social impact,Forest restoration; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Community,Yes,Yes,Yes,Yes,No,Yes,"Government authorities, Indigenous people, Academia","This project is relevant because it addresses Water withdrawal / water stress in Paraguay through Forest restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-014,Ensuring connectivity through community forest restoration in Atlantic Forest,Paraguay,South America,In implementation with intermediate results,"This initiative aims to foster forest restoration in a biological corridor between two protected areas of great importance for the conservation of the Upper Parana Atlantic Forest. The activities carried out include: forest enrichment with native fruit and forest species in the Kuetuvy community (Aché Indigenous Community), forest enrichment with Yerba Mate (NTFP) and support to the livelihoods of the indigenous...","Restoration with fruit and forest species allows communities to access resources and food and diversify their economic income. Enrichment with Yerba Mate (a shrub growing under the forest canopy that has commercial value) in particular is compatible with sustainable forest use, reducing interest to deforest or convert. These activities improve connectivity between protected areas of the Atlantic Forest.",60000,Low: < $1.5M,2022-11-01,2024-04-01,1.4,Short term: 0–2 years,"Poverty including unemployment, Deforestation and forest degradation",Reforestation/Restoration of forests -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management),Land-use change; Habitat degradation; Climate physical risk; Supply chain dependency; Regulatory / reporting pressure,Biodiversity; Land use / ecosystem degradation; Climate adaptation; Resource use / circularity; Community / social impact,Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Sustainable natural resource management; Community-based NbS,Supply chain risk; Regulatory / reporting risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Biodiversity; Land; Climate; Community,Yes,No,Yes,No,Yes,Yes,"NGOs, Private sector, Indigenous people","This project is relevant because it addresses Land-use change in Paraguay through Forest restoration, with expected benefits for Biodiversity, Land use / ecosystem degradation, Climate adaptation."
NBS-015,"Atlantic Forest Restoration with Yerba Mate, an option to sustain livelihoods and preserve forests",Paraguay,South America,Completed - looking to scale-up,"The Atlantic Forest is a rich and diverse tropical forest stretching across Brazil, Argentina and Paraguay. It is a crucial global biodiversity hotspot; a transboundary botanical refuge that holds more than 20,000 plant species including rosewood and vibrant bromeliads and orchids. But the forest is on the brink of extinction from widespread deforestation by human activities; 76% of the original forest cover in the...",Through enrichment with Yerba Mate and Restoration of forests we provide sources of income to alleviate poverty. Access to diversified production allows communities to be more resilient to droughts that affect crops or other resources of income. Enriched forests allow to maintain forest and forestry management without aiming to convert or reduce.,950000,Low: < $1.5M,2017-01-01,2020-01-01,3.0,Medium term: 2–5 years,"Soil degradation and loss, Droughts, Poverty including unemployment, Deforestation and forest degradation, Land rights conflicts",Reforestation/Restoration of forests -Agroecology approaches (agroforestry & silvopastoral systems) -Restoration of riparian vegetation -Community-based forestry and other forms of sustainable forest management -Revaluation of ancestral practices for ecosystem management,Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Community / social impact,Riparian buffer restoration; Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Cost increase,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Indigenous people, Local communities, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Paraguay through Riparian buffer restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-016,Building a Wildlife Corridor Through Reforestation,Brazil,South America,Completed,"A series of Climate Crowd interviews conducted by our partners from the Institute for Ecological Research (IPE) revealed that changing rainfall patterns and drought have had serious impacts on people and wildlife living in Brazil’s Pontal do Paranapanema region. To combat these changes, WWF and IPE worked together on a project to improve the resilience of a local watershed and improve habitat connectivity through...","The reforestation activities will help with water security for the community by regulating water flow and quality, and will help sequester carbon (climate mitigation)",14091,Low: < $1.5M,2018-02-01,2018-07-01,0.4,Short term: 0–2 years,"Water availability, Soil degradation and loss, Deforestation and forest degradation, Degradation of carbon sinks",Reforestation/Restoration of forests -Community-based forestry and other forms of sustainable forest management -Creation and management of green corridors (including connectivity between urban and rural ecosystems),Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Community / social impact,Watershed restoration; Riparian buffer restoration; Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Community,Yes,Yes,Yes,Yes,No,Yes,Local communities,"This project is relevant because it addresses Water withdrawal / water stress in Brazil through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-017,"NbS to increase access to water for local communities in Valdivia, Chile",Chile,South America,In early stages of implementation,"The project aims to bolster the assurance of the human right to water access for rural communities situated in the Valdivia Watershed. These communities are grappling with water security issues due to ecosystem degradation and climate change. A focus on landscape restoration within crucial supply watersheds will facilitate the recovery of ecosystem services, while enhanced governance will guarantee the...","Climate change is projected to vastly reduce precipitation in the project landscape and threaten water security. This threat is founded on a history of landuse change for agriculture and plantation forestry, depriving many parts of the landscape with the resilience to provide water as an ecosystem service and mitigate the impact of landslides or flooding. Restoring native forest in key areas of this watershed...",300000,Low: < $1.5M,2022-10-01,2024-09-01,1.9,Short term: 0–2 years,"Water availability, Soil degradation and loss, Droughts, Poverty including unemployment, and forest degradation, Land rights conflicts.",Reforestation - Upper watershed restoration and management - Indigenous Nature and Culture-based solutions - Protection of riparian vegetation,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Community / social impact,Watershed restoration; Riparian buffer restoration; Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Reputational risk; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Local communities, Indigenous people","This project is relevant because it addresses Water withdrawal / water stress in Chile through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-018,Seaweed Solutions,United Kingdom,Europe,In implementation with intermediate results,"A multi-facetted project to develop Seaweed Farming as a way of meeting the Triple Challenge Concept by: impacting climate change through substituting low carbon products such as seaweed feed, food and fertilizer; Improving biodiversity through improved coastal water quality, removal of nitrogen and phosphorus and providing marine structures for shelter for marine wildlife; and providing sustainable food, feed and...",Regenerative seaweed farming improves coastal water quality and biodiversity mitigating against coastal degradation from other activities such as trawling and providing alternative livelihoods for local coastal communities. The products from seaweed farms could replace higher carbon products such as fertilizers and soy in feed and therefore reduce the terrestrial footprint of food and feed.,1263500,Low: < $1.5M,2021-02-01,,,Unknown,"Water pollution, Soil degradation and loss, Coastal flooding and erosion, Poverty including unemployment, Famine including lack of quality food, Over-exploitation of natural resources (water resources, overgrazing, fisheries, mangroves, forest products), Deforestation and forest degradation, Sea level rises","Protecton and enhancement or construction of wetlands (other types than peatlands and mangroves, e.g. seagrass) -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management) -Coastal ecosystems restoration and management (mangroves / dunes / saltplains) -Integrating management of mangroves and fisheries farming -Soil restoration & management",Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity; Community / social impact,Wetland restoration; Forest restoration; Agroforestry / regenerative agriculture; Coastal restoration; Habitat conservation; Sustainable natural resource management; Climate mitigation / carbon project; Community-based NbS,Operational disruption; Supply chain risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,Yes,Yes,Yes,"Government authorities, NGOs, Private sector, Local communities, Academia","This project is relevant because it addresses Water withdrawal / water stress in United Kingdom through Wetland restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-019,Plantar Água 2023,Portugal,Europe,Completed,"Plantar Água aims to ecologically restore burnt areas in the Caldeirão mountain range. It strives to generate more and better water, as well as recover other (presently lost) ecosystem services that serve the territory and the communities, by planting native trees and shrubs. Phase 1: It covers 100 hectares of 6 plots affected by the 2012 forest fires (in Sítio do Barranco da Corte / Ribeira da Foupana, a parish of...","Serra do Caldeirão has been severely affected by droughts for the past years. With our interventions, we aim to increase soil retention to increase surface water replenishment in the region (Foupana stream, Guadiana estuary) of 300 million litres annually by the end of 2023. Reforestation and restoration of riparian vegetation activities will: − Improve ecosystem resilience to climate change driven risks (wildfires,...",300000,Low: < $1.5M,2019-09-01,2023-12-01,4.2,Medium term: 2–5 years,"Water availability, Water pollution, Soil degradation and loss, Droughts, Deforestation and forest degradation, Forest fires, Invasive alien species",Reforestation - Restoration of riparian vegetation - Agroecology approaches (agroforestry & silvopastoral systems) - Upper watershed restoration and management,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Community / social impact,Watershed restoration; Riparian buffer restoration; Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation,Operational disruption; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,No,No,Yes,"Government authorities, NGOs, Private sector, Financial sector, Local communities","This project is relevant because it addresses Water withdrawal / water stress in Portugal through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-020,Renaturation of the Po River - The middle Po Valley stretch,Italy,Europe,In early stages of implementation,"The area covered by this proposal, which constitutes a first outline for the Po basin, goes from the province of Pavia to that of Rovigo, encompassing Lombardy, Emilia Romagna and Veneto regions. This is the river basin area, delimited by the main banks, which covers a total surface of about 32,431.18 ha. Thirty-seven areas have been identified to be restored as a priority along the middle Po Valley stretch, plus...","The Po River renaturation project addresses climate change adaptation by restoring ecosystem services (ES) provided by the riverine ecosystems present both in the core area and in the buffer zones. These include: - The regulation of the hydrological cycle: by recovering the structure and processes of the ecosystem, such as evapo-transpiration, runoff, river flood mitigation (e.g. improvement of water lamination...",,Unknown,2021-12-01,2026-06-01,4.5,Medium term: 2–5 years,"Water availability, Water pollution, Droughts, River flooding, Deforestation and forest degradation, Degradation of carbon sinks, Invasive alien species","Reforestation/Restoration of forests -Protect and sustainable manage floodplains -Restoration of floodplains -Protecton and enhancement or construction of wetlands (other types than peatlands and mangroves, e.g. seagrass) -Restoration of wetlands (other types than peatlands and mangroves, e.g. seagrass) -Maintenance or restoration of sediment transport -Restoration of riparian vegetation -Creation and management of...",Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Resource use / circularity,Watershed restoration; Wetland restoration; Riparian buffer restoration; Forest restoration; Coastal restoration; Habitat conservation; Climate mitigation / carbon project,Operational disruption; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution,Yes,Yes,Yes,Yes,No,Yes,"Government authorities, Private sector, Local communities","This project is relevant because it addresses Water withdrawal / water stress in Italy through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-021,Restoration of the Lower Morava floodplains,Austria,Europe,Completed,"At the Morava river a floodplain area and biodiversity features were improved by means of river restoration, side-arm reconnection and improvement of land-use practices. Monitoring showed success of interventions.",Due to climate change the project area is facing increasing flood- and drought risk. Restoration of the floodplains improves water retention (in case of floods and droughts). By doing so the project activities help to adapt to climate change. Restoration of riparian vegetation reduces soil degradation; Introduction of grazing instead of mowing reduces the impact of landuse.,3800000,High: > $3M,2011-10-01,2019-10-01,8.0,Long term: 5+ years,"Water availability, Droughts, Degradation of carbon sinks, local improvement of river sediment-regime, and fish-stocks",Restoration and protection of floodplains - Restoration of riparian vegetation - Sustainable management of grassland,Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk; Regulatory / reporting pressure,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation,Watershed restoration; Riparian buffer restoration; Habitat conservation; Climate mitigation / carbon project,Operational disruption; Regulatory / reporting risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate,Yes,Yes,Yes,Yes,No,Yes,"Regional government, Municipalities","This project is relevant because it addresses Water withdrawal / water stress in Austria through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-022,Dynamic Life-Lines Danube,"Austria, Slovakia",Europe,In implementation with intermediate results,"The project is an Austrian-Slovak cooperation for the restoration of floodplains along the river Danube. In both countries, a total of 25 km of river branches will be connected to the Danube, over 1,500 hectares of riparian forest are ecologically upgraded and in total, the hard bank reinforcement is removed over a length of 4 km.","The project is trying to find solutions to biodiversity loss, habitat loss, declining water tables, and loss of recreational space for people. We implement this through river restoration by reconnecting disconnected side-arms, removing bank regulation, and restoring the water supply to the floodplain.",1100000,Low: < $1.5M,2019-09-01,2026-06-01,6.7,Long term: 5+ years,"Water availability, Riverbed degradation (erosion)",Restoration and sustainable management of floodplains - Restoration of riparian vegetation - Improvement of sediment balance,Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation,Watershed restoration; Riparian buffer restoration; Forest restoration; Habitat conservation,Operational disruption; Reputational risk,Reduce nature-related risk; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate,Yes,Yes,Yes,No,No,Yes,"Government authorities, NGOs, Private sector, Local communities, Academia, International organizations","This project is relevant because it addresses Water withdrawal / water stress in Austria, Slovakia through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-023,Liberty Island project (Conservation of alluvial habitats of community interest on the Szabadság Island and side channel in Béda-Karapancsa pSCI),Hungary,Europe,Completed - looking to scale-up,"The main objective was to demonstrate a long-term, sustainable conservation model for white willow (Salicion albae) alluvial forests in Hungary. A core aim is to eliminate or mitigate the factors that threaten the habitats of Community interest. To achieve these goals, the project consortium intended to clear the project area of invasive species and non-native tree plantations and restore the appropriate water flow...","The reconstruction of the floodplain forest and the removal of invasive species on the island has improved the conservation status and biodiversity of the forest. The revitalized side arm is able to buffer more water during floods and has a better water flow, thus contributing to improved water quality in the river and in the bank-filtered drinking water wells, as well as to a better biodiversity and conservation...",1900000,Medium: $1.5M – $3M,2009-01-01,2013-12-01,4.9,Medium term: 2–5 years,"Water availability, River flooding, Deforestation and forest degradation, Lack of green areas, Invasive alien species",Restoration of riparian vegetation -Clearing out invasive alien species and allow natural regeneration maintaining the functionality of the ecosystem -River side arm rehabilitation and reconnection,Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Regulatory / reporting pressure,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Community / social impact,Watershed restoration; Riparian buffer restoration; Forest restoration; Habitat conservation; Community-based NbS,Operational disruption; Regulatory / reporting risk; Reputational risk; Cost increase,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Support SBTN-aligned action planning; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,No,No,Yes,"Government authorities, Financial sector, Local communities, Academia","This project is relevant because it addresses Water withdrawal / water stress in Hungary through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-024,Water retention measures in the Tisza floodplain and the Sand Ridge,Hungary,Europe,In implementation with intermediate results,"The Tisza program's main objective is to contribute to the climate resilience of the Great Hungarian Plain by achieving better retention of available water. The root of the problem goes back centuries, when the wetland-rich floodplain of the Tisza was drained to make it suitable for intensive crop farming. In order to restore wetland habitat in part of the former floodplain that has been disconnected from the river,...","The area of intervention is experiencing drought, drop of groundwater levels, flood and inland water damages, which can be traced back to the fact that water management has been developed to drain water quickly and not to retain it, and that natural wetlands capability of retaining water has been altered and converted to cultivation and other uses. A large part of the area concerned is used for agriculture, where...",4000000,High: > $3M,2017-01-01,,,Unknown,"Water availability, Soil degradation and loss, Droughts, Urban flooding, River flooding, Lack of green areas","Protect and sustainable manage floodplains -Protecton and enhancement or construction of wetlands (other types than peatlands and mangroves, e.g. seagrass) -Restoration of wetlands (other types than peatlands and mangroves, e.g. seagrass) -Upper watershed restoration and management -Sustainable use of natural resources to improve livelihoods and food security (eg. community-based wildlife or forest management)...",Water withdrawal / water stress; Land-use change; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Resource use / circularity; Community / social impact,Watershed restoration; Wetland restoration; Forest restoration; Agroforestry / regenerative agriculture; Coastal restoration; Habitat conservation; Sustainable natural resource management; Community-based NbS,Operational disruption; Supply chain risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Community,Yes,Yes,Yes,No,Yes,Yes,"Government authorities, NGOs, Private sector, Local communities, Academia","This project is relevant because it addresses Water withdrawal / water stress in Hungary through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-025,NbS along the Lower Danube,Romania,Europe,In early stages of implementation,"During the second half of the 20th century, close to three-quarters of the Lower Danube’s floodplains were cut off from the main river by dikes and were transformed into agricultural areas, with subsequent impacts on flooding regimes. Climate change is expected to further increase flood risk all over the Danube basin, in terms of intensity, duration and frequency of events. Currently, restoration is underway in the...","Flood risk is a reality in the Lower Danube, due to land use change from wetland to agricultural land. Restoration of wetlands in some designated areas will prevent floods and bring more benefits for rural communities (fish production, ecotourism).",10000000,High: > $3M,2018-01-01,2030-01-01,12.0,Long term: 5+ years,"Droughts, River flooding, Poverty including unemployment, Soil degradation and loss, Extreme temperatures, Water availability, Water pollution, Urban flooding, Deforestation and forest degradation, Invasive alien species","Restoration of floodplains - Restoration and protection of wetlands, lakes, rivers, floodplain forests",Water withdrawal / water stress; Land-use change; Pollution / nutrient runoff; Habitat degradation; Climate physical risk; Supply chain dependency,Water; Biodiversity; Land use / ecosystem degradation; Climate adaptation; Pollution; Community / social impact,Watershed restoration; Wetland restoration; Forest restoration; Habitat conservation; Sustainable natural resource management,Operational disruption; Supply chain risk; Reputational risk; Cost increase; Loss of ecosystem services,Reduce nature-related risk; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Water; Biodiversity; Land; Climate; Pollution; Community,Yes,Yes,Yes,No,No,Yes,"Government authorities, NGOs, Private sector, Local communities, Academia, Youth, Women","This project is relevant because it addresses Water withdrawal / water stress in Romania through Watershed restoration, with expected benefits for Water, Biodiversity, Land use / ecosystem degradation."
NBS-026,Adapting agroforestry environments to climate change & increasing landscape fire resilience,Greece,Europe,Completed - looking to scale-up,"The project aims to introduce the use of fire in wildfire prevention in the country, namely prescribed burning (PB) as an accurate and effective tool for forest fuel management, to increase social– ecological resilience to wildfire and to contribute to a climate – resilient future. Mediterranean type ecosystems are characterized by a mosaic of forest and low impact, extensive cultivations with mainly but not...",The project contributes to climate change adaptation by increasing forest resilience towards wildfires. This happens by decreasing intensity of fires locally and protecting communities. More data will be available once the pilot implementation is finished. We will also calculate possible CO2 emissions avoidance comparing prescribed burning with scenarios of uncontrolled fire in the pilot plots. Prescribed burning...,136900,Low: < $1.5M,2021-06-01,2023-06-01,2.0,Short term: 0–2 years,Forest fires,"Agroforestry & silvopastoral systems thermophilic conifers such as Pinus brutia, maquis, phrygana, grass) Hybrid actions: - Forest fuel management, fire prevention, fire break maintenance, shaded fuel brake maintenance.",Habitat degradation; Climate physical risk; Supply chain dependency; Regulatory / reporting pressure,Biodiversity; Land use / ecosystem degradation; Climate adaptation; Community / social impact,Forest restoration; Agroforestry / regenerative agriculture; Habitat conservation; Climate mitigation / carbon project,Operational disruption; Supply chain risk; Regulatory / reporting risk; Reputational risk,Reduce nature-related risk; Support CSRD / ESRS / TNFD disclosure; Identify credible NbS investment opportunities; Improve supply chain resilience; Support SBTN-aligned action planning; Build a nature-positive investment case; Explore partnership opportunities with WWF,Biodiversity; Land; Climate; Community,Yes,No,Yes,Yes,No,Yes,"Government authorities, NGOs, Private sector, Local communities, Academia","This project is relevant because it addresses Habitat degradation in Greece through Forest restoration, with expected benefits for Biodiversity, Land use / ecosystem degradation, Climate adaptation."
